"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","UnsortedArrayFailsOrderCheck","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","UnsortedArrayFailsOrderCheck"
"","1","EmptyStringIsNotEmpty","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","EmptyStringIsNotEmpty"
"","6","ArrayIsSorted","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Quick Tests","QuickTests","ArrayIsSorted"
"","0","StringIsReferenceType","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Quick Tests","QuickTests","StringIsReferenceType"
"","0","SquareRootIsCorrect","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Mixed Results Tests","MixedResultsTests","SquareRootIsCorrect"
"","0","StringIsNotInt","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Mixed Results Tests","MixedResultsTests","StringIsNotInt"
"","0","ModuloReturnsRemainder","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Quick Tests","QuickTests","ModuloReturnsRemainder"
"","0","StringToUpperConvertsCorrectly","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Quick Tests","QuickTests","StringToUpperConvertsCorrectly"
"","0","MaxReturnsLargest","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Mixed Results Tests","MixedResultsTests","MaxReturnsLargest"
"","0","DivisionIsCorrect","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Quick Tests","QuickTests","DivisionIsCorrect"
"","3","DoubleToleranceFails","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","DoubleToleranceFails"
"","45","ArrayEqualityFails","","Wed Feb 18 10:39:03 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","ArrayEqualityFails"
"","0","AdditionIsCorrect","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Quick Tests","QuickTests","AdditionIsCorrect"
"Login with invalid credentials fails
","485","LoginFailure","","Wed Feb 18 10:39:05 UTC 2026","passed","Wed Feb 18 10:39:05 UTC 2026","","Login Test Suite","LoginTests","LoginFailure"
"","1","ListDoesNotContainExpectedItem","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","ListDoesNotContainExpectedItem"
"","0","ListCountIsCorrect","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Quick Tests","QuickTests","ListCountIsCorrect"
"","1","WrongCountFails","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","WrongCountFails"
"","2","ExpectedExceptionNotThrown","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","ExpectedExceptionNotThrown"
"","2","ContainsFails","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","ContainsFails"
"","1","NullIsNull","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Quick Tests","QuickTests","NullIsNull"
"","1","ListContainsAddedItem","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Quick Tests","QuickTests","ListContainsAddedItem"
"","1","WrongTypeFails","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","WrongTypeFails"
"","2","NotNullFails","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","NotNullFails"
"","3","RegexMatchFails","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","RegexMatchFails"
"","2","DateTimeIsCorrectType","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Mixed Results Tests","MixedResultsTests","DateTimeIsCorrectType"
"","16","AbsoluteValueOfNegative","","Wed Feb 18 10:39:03 UTC 2026","passed","Wed Feb 18 10:39:03 UTC 2026","","Quick Tests","QuickTests","AbsoluteValueOfNegative"
"","0","StringContainsSubstring","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Quick Tests","QuickTests","StringContainsSubstring"
"","2","GreaterThanFails","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","GreaterThanFails"
"","0","StringReplaceWorks","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Mixed Results Tests","MixedResultsTests","StringReplaceWorks"
"","1","DictionaryValueLookup","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Mixed Results Tests","MixedResultsTests","DictionaryValueLookup"
"","2","ObjectEqualityFails","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Failing Tests","FailingTests","ObjectEqualityFails"
"","0","StringSplitWorks","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Mixed Results Tests","MixedResultsTests","StringSplitWorks"
"","2","DictionaryContainsKey","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Quick Tests","QuickTests","DictionaryContainsKey"
"","0","StringTrimRemovesWhitespace","","Wed Feb 18 10:39:04 UTC 2026","passed","Wed Feb 18 10:39:04 UTC 2026","","Quick Tests","QuickTests","StringTrimRemovesWhitespace"
"","1","NegativeSquareRootFails","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Mixed Results Tests","MixedResultsTests","NegativeSquareRootFails"
"","1","RoundingFails","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Mixed Results Tests","MixedResultsTests","RoundingFails"
"","3","ListIsNotInExpectedOrder","","Wed Feb 18 10:39:04 UTC 2026","failed","Wed Feb 18 10:39:04 UTC 2026","","Mixed Results Tests","MixedResultsTests","ListIsNotInExpectedOrder"
